# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	47733
#@/user_id	macOS
biao shi 	表示	c=2 d=1.2111e-18 t=47733
biao ti 	標題	c=1 d=3.45374e-23 t=47733
biao tou 	表頭	c=10 d=0.000765486 t=47733
biao zhi 	標誌	c=8 d=0.0380369 t=47733
biao zhu 	標註	c=1 d=3.33711e-60 t=47733
biao zhun 	標準	c=2 d=8.98612e-08 t=47733
bie 	別	c=19 d=0.00146607 t=47733
bie de 	別的	c=2 d=0.00346515 t=47733
bie dong 	別動	c=1 d=1.84834e-21 t=47733
bie han 	別韓	c=1 d=5.51152e-51 t=47733
bie ku 	別哭	c=1 d=2.1232e-05 t=47733
bie mai 	別買	c=1 d=4.90109e-23 t=47733
bie rang 	別讓	c=1 d=7.31032e-21 t=47733
bie ren 	別人	c=4 d=0.000349153 t=47733
bie ren le 	別人了	c=1 d=3.31313e-34 t=47733
bie shan 	別刪	c=1 d=2.45735e-48 t=47733
bie xiang 	別想	c=0 d=2.85649e-55 t=47733
bie xiang le 	別想了	c=1 d=2.87081e-54 t=47733
bin 	斌	c=152 d=2.7616 t=47733
bin 	濱	c=1 d=1.09962e-29 t=47733
bin hao 	斌浩	c=33 d=0.170665 t=47733
bing 	丙	c=2 d=2.31393e-17 t=47733
bing 	並	c=18 d=0.00224503 t=47733
bing 	兵	c=13 d=3.20917e-17 t=47733
bing 	冰	c=4 d=2.14333e-22 t=47733
bing 	病	c=1 d=1.28705e-57 t=47733
bing fa 	併發	c=5 d=0.000620491 t=47733
bing hao 	病好	c=1 d=5.56898e-26 t=47733
bing li 	病例	c=1 d=2.95975e-60 t=47733
bing qi lin 	冰淇淋	c=1 d=8.25667e-12 t=47733
bing qie 	並且	c=2 d=9.70249e-28 t=47733
bing xiang 	冰箱	c=8 d=2.46693e-51 t=47733
bing zong 	兵總	c=1 d=4.89942e-19 t=47733
bo 	博	c=10 d=0.0105672 t=47733
bo 	波	c=2 d=1.94946e-30 t=47733
bo ai 	博愛	c=3 d=1.76107e-42 t=47733
bo ceng 	薄層	c=1 d=1.10303e-36 t=47733
bo fang qi 	播放器	c=2 d=1.84261e-32 t=47733
bo jing 	脖頸	c=1 d=0.000119762 t=47733
bo ke 	博客	c=2 d=0.0274607 t=47733
bo kuan 	撥款	c=1 d=1.6983e-25 t=47733
bo zi 	脖子	c=1 d=1.39298e-24 t=47733
bu 	不	c=82 d=0.199044 t=47733
bu 	布	c=4 d=3.48115e-56 t=47733
bu 	步	c=3 d=5.83145e-09 t=47733
bu 	補	c=5 d=2.29488e-08 t=47733
bu ba 	不拔	c=1 d=1.59007e-15 t=47733
bu ban 	不辦	c=2 d=7.96861e-57 t=47733
bu bao cuo 	不報錯	c=2 d=1.61411e-53 t=47733
bu bao kuo 	不包括	c=1 d=0.000315927 t=47733
bu bao zheng 	不保證	c=1 d=2.14527e-09 t=47733
bu cai 	不才	c=1 d=8.32945e-27 t=47733
bu can jia 	不參加	c=1 d=1.50549e-19 t=47733
bu cha 	不差	c=1 d=8.21269e-08 t=47733
bu chang 	不長	c=1 d=1.05561e-19 t=47733
bu chao guo 	不超過	c=1 d=2.94769e-12 t=47733
bu cheng ren 	不承認	c=1 d=8.0427e-56 t=47733
bu chi 	不吃	c=2 d=1.4856e-40 t=47733
bu chi fan 	不吃范	c=3 d=5.2194e-28 t=47733
bu chong 	補充	c=3 d=1.53339e-08 t=47733
bu chu lai 	不出來	c=6 d=3.02807e-05 t=47733
bu chu li 	不處理	c=1 d=3.1668e-32 t=47733
bu chu qu 	不出去	c=1 d=6.50377e-28 t=47733
bu chuan 	不傳	c=1 d=2.33917e-27 t=47733
bu chuan 	不穿	c=1 d=1.72133e-07 t=47733
bu cui 	不催	c=1 d=1.41367e-14 t=47733
bu cun zai 	不存在	c=13 d=1.7358e-06 t=47733
bu da 	不大	c=9 d=1.40008e-18 t=47733
bu dai 	不帶	c=2 d=4.16523e-42 t=47733
bu dai biao 	不代表	c=2 d=2.07984e-24 t=47733
bu dan 	補單	c=2 d=1.58353 t=47733
bu dao 	不到	c=15 d=8.11246e-08 t=47733
bu de 	不得	c=1 d=8.32635e-52 t=47733
bu dei 	不得	c=3 d=1.36435e-08 t=47733
bu deng 	不等	c=1 d=3.15047e-30 t=47733
bu deng yu 	不等於	c=1 d=1.1812e-18 t=47733
bu ding 	補丁	c=3 d=0.000573931 t=47733
bu dong 	不動	c=1 d=1.87169e-51 t=47733
bu dong 	不懂	c=1 d=7.10393e-37 t=47733
bu dui 	不對	c=19 d=0.000102566 t=47733
bu dui ying 	不對應	c=2 d=1.89319e-09 t=47733
bu duo 	不多	c=6 d=9.40293e-12 t=47733
bu duo de 	不多的	c=1 d=5.46818e-17 t=47733
bu en 	不恩	c=1 d=2.06284e-48 t=47733
bu en ne 	不恩呢	c=2 d=6.94433e-05 t=47733
bu en ne guai 	不恩呢拐	c=3 d=4.43592e-08 t=47733
bu fan hui 	不返回	c=1 d=2.20145e-19 t=47733
bu fang bian 	不方便	c=1 d=1.57913e-22 t=47733
bu fang xin 	不放心	c=1 d=6.39149e-29 t=47733
bu fen 	部分	c=9 d=0.000509243 t=47733
bu gai 	不該	c=1 d=2.86944e-19 t=47733
bu gai dong 	不改動	c=1 d=3.25693e-68 t=47733
bu gao 	不搞	c=1 d=1.50155e-47 t=47733
bu gao su 	不告訴	c=1 d=1.02829e-34 t=47733
bu gei 	不給	c=1 d=4.84128e-55 t=47733
bu gei 	補給	c=1 d=4.81714e-55 t=47733
bu gei ni 	補給你	c=1 d=8.67501e-64 t=47733
bu geng xin 	不更新	c=1 d=2.97317e-25 t=47733
bu gou 	不夠	c=4 d=1.65498e-36 t=47733
bu guan 	不管	c=4 d=9.19624e-34 t=47733
bu guan le 	不管了	c=0 d=1.26444e-26 t=47733
bu guo 	不過	c=3 d=1.69161e-08 t=47733
bu guo le 	不過了	c=1 d=7.55631e-28 t=47733
bu hao 	不好	c=12 d=1.41369e-15 t=47733
bu hao hao 	不好號	c=1 d=1.42076e-14 t=47733
bu hao kan 	不好看	c=1 d=5.30189e-36 t=47733
bu he 	不喝	c=2 d=2.15869e-16 t=47733
bu he fa 	不合法	c=1 d=1.89185e-30 t=47733
bu hui 	不回	c=1 d=1.64749e-50 t=47733
bu hui 	不會	c=17 d=8.44112e-05 t=47733
bu hui bian 	不會變	c=1 d=8.09567e-45 t=47733
bu hui chu lai 	不會出來	c=1 d=2.88834e-08 t=47733
bu huo zi dian 	不活字典	c=1 d=5.93794e-16 t=47733
bu ji 	不急	c=3 d=1.85218e-16 t=47733
bu jia 	不加	c=4 d=3.45937e-05 t=47733
bu jia 	補加	c=1 d=7.52654e-11 t=47733
bu jian 	不見	c=3 d=1.26871e-16 t=47733
bu jian 	補檢	c=1 d=3.39169e-45 t=47733
bu jiao yan 	不校驗	c=1 d=2.62202e-17 t=47733
bu jie 	不解	c=1 d=1.10187e-53 t=47733
bu jie yi 	不介意	c=1 d=2.1463e-44 t=47733
bu jin lai 	不進來	c=0 d=2.20677e-19 t=47733
bu jiu 	不久	c=4 d=8.16174e-23 t=47733
bu ju 	佈局	c=1 d=5.94198e-24 t=47733
bu ju jiao 	不拒繳	c=1 d=4.75608e-52 t=47733
bu kai 	不開	c=3 d=9.03577e-14 t=47733
